AccountNo,Account Description,Dollars,Budget Year,Budget Type
01-00-00-3150,Eit Prior Year,-350000,2005,Actual
01-00-00-3162,Handicap Parking Permit,-4000,2005,Actual
01-00-00-3190,Occupation Tax,-1337486.02,2005,Actual
01-00-00-3191,Occupation Tax -  Prior Year,-15000,2005,Actual
01-00-00-3210,Food Permits,-50000,2005,Actual
01-00-00-3220,Electrical Permits,-30000,2005,Actual
01-00-00-3221,New Construction Permits,-290000,2005,Actual
01-00-00-3222,Demolition Permits,-50000,2005,Actual
01-00-00-3223,Remodeling Permits,-120000,2005,Actual
01-00-00-3225,Trash Truck License Fees,-15000,2005,Actual
01-00-00-3226,Trades Licenses,-90000,2005,Actual
01-00-00-3227,Examination Fees,-10000,2005,Actual
01-00-00-3228,Commercial Parking Permits,-3000,2005,Actual
01-00-00-3230,Business Privilege License,-155000,2005,Actual
01-00-00-3250,Plumbing Permits,-30000,2005,Actual
01-00-00-3251,Heating Permits,-20000,2005,Actual
01-00-00-3260,Street Cuts,-70000,2005,Actual
01-00-00-3270,Zoning Fees,-30000,2005,Actual
01-00-00-3275,Land Development Fees,-13000,2005,Actual
01-00-00-3280,Housing/Rental Permit,-850000,2005,Actual
01-00-00-3282,Tax Administration Licenses,-30000,2005,Actual
01-00-00-3283,Franchise Fees,-750000,2005,Actual
01-00-00-3284,Other income,-5000,2005,Actual
01-00-00-3285,No Parking Signs Revenue,-400,2005,Actual
01-00-00-3290,Public Health & Safety,-180000,2005,Actual
01-00-00-3310,Traffic Fines Motor Codes,-325000,2005,Actual
01-00-00-3325,Advertising Revenue,-40000,2005,Actual
01-00-00-3330,District Court Summary offense,-630000,2005,Actual
01-00-00-3333,Fines and Penalities P.S.P.,-50000,2005,Actual
01-00-00-3334,Fines and Penalities County,-30000,2005,Actual
01-00-00-3410,Interest on Investments,-300000,2005,Actual
01-00-00-3420,Rent Other Property Buildings,-65000,2005,Actual
01-00-00-3421,Rental on Stadium,-22000,2005,Actual
01-00-00-3429,Lease Rental/Grtr Berks Dev Fd,-275000,2005,Actual
01-00-00-3430,Lease Rental/Parking Authority,-60000,2005,Actual
01-00-00-3510,Payment in Lieu of Taxes,-100000,2005,Actual
01-00-00-3520,Malt & Liquor Tax Distribution,-45000,2005,Actual
01-00-00-3521,Public Utility Tax Distributio,-40000,2005,Actual
01-00-00-3526,Snow & Ice Control,-50000,2005,Actual
01-00-00-3541,Reading Public Library,-944047,2005,Actual
01-00-00-3543,School District School Guard,-235000,2005,Actual
01-00-00-3550,Police Training Reimbursement,-300000,2005,Actual
01-00-00-3560,Pension-State Contributions,-3085000,2005,Actual
01-00-00-3600,"Copies of Books, Ordinanc, Etc",-800,2005,Actual
01-00-00-3635,Fire Insurance Certification,-600,2005,Actual
01-00-00-3636,Other Department Earnings,0,2005,Actual
01-00-00-3660,Recreational Facilities,-50400,2005,Actual
01-00-00-3661,Swimming Pool,-40000,2005,Actual
01-00-00-3662,Pagoda & Tower,-650,2005,Actual
01-00-00-3721,Sales Property/Equipment/Suppl,-242400,2005,Actual
01-00-00-3730,Refund Prior Years Expense,-10000,2005,Actual
01-00-00-3732,Workmens Comp Reimbursement,-35000,2005,Actual
01-00-00-3741,Telephone Commissions,0,2005,Actual
01-00-00-3743,Miscellaneous,-10000,2005,Actual
01-00-00-3750,Damages Recovered,-50000,2005,Actual
01-00-00-3751,Indirect Cost Reim.-Recycling,-95000,2005,Actual
01-00-00-3752,Indirect Cost Reimburse-Sewer,-460000,2005,Actual
01-00-00-3753,Indirect Cost Reimburse-CD,-233000,2005,Actual
01-00-00-3754,Direct Cost Reimburse-Law,-30000,2005,Actual
01-00-00-3755,Direct Cost Reimburse-Planning,-20000,2005,Actual
01-00-00-3756,Direct Cost Reimb Code Service,-250000,2005,Actual
01-00-00-3762,Pension Reimbursement,-34000,2005,Actual
01-00-00-3763,CD Cost Reimbursement,-35000,2005,Actual
01-00-00-3764,Indirect Cost EMS,0,2005,Actual
01-00-00-3766,CD Bond Interest,-310000,2005,Actual
01-00-00-3910,Transfer Fr Capit Reserve City,-20000,2005,Actual
01-00-00-3931,Transfer - Agency,-15000,2005,Actual
01-00-00-3950,Transfer - Water Fund,-3410261.02,2005,Actual
01-00-00-3951,Indirect Cost Reim. - Water,-600000,2005,Actual
01-00-00-3954,Transfer from Sewer Fund,-5250000,2005,Actual
01-00-00-3956,Fees - Redeveloment Authority,-18000,2005,Actual
01-00-00-3977,Direct Reimb Sewer,-130000,2005,Actual
01-01-01-3610,Fleet Maint. - Other Juris.,-2500,2005,Actual
01-01-01-4000,Salaries,138899.84,2005,Actual
01-01-01-4200,Advertising,2500,2005,Actual
01-01-01-4216,Contracted Services,3600,2005,Actual
01-01-01-4307,Conferences/Training,4000,2005,Actual
01-01-01-4308,Subscriptions,210,2005,Actual
01-01-01-4317,Dues,2500,2005,Actual
01-01-01-4509,Postage,500,2005,Actual
01-01-01-4510,General Plant Supplies,3050,2005,Actual
01-01-01-4525,Minor Capital Equipment,350,2005,Actual
01-01-01-4739,Contingencies,2190,2005,Actual
01-01-01-4740,Community Promotions,7150,2005,Actual
01-01-01-4900,Fringe Benefits,30511.34,2005,Actual
01-01-01-4901,Pension,13912.02,2005,Actual
01-01-01-4913,Social Security,10495.79,2005,Actual
01-02-09-4000,Salaries,131439,2005,Actual
01-02-09-4200,Advertising,10000,2005,Actual
01-02-09-4202,Printing,5000,2005,Actual
01-02-09-4205,Codified Ordinance,8000,2005,Actual
01-02-09-4216,Contracted Services,0,2005,Actual
01-02-09-4224,Legal Services,6500,2005,Actual
01-02-09-4307,Conferences/Training,1500,2005,Actual
01-02-09-4308,Subscriptions,0,2005,Actual
01-02-09-4317,Dues,1000,2005,Actual
01-02-09-4509,Postage,0,2005,Actual
01-02-09-4510,General Plant Supplies,7500,2005,Actual
01-02-09-4739,Contingencies,1221.45,2005,Actual
01-02-09-4740,Community Promotions,10000,2005,Actual
01-02-09-4743,Miscellaneous Expense,8000,2005,Actual
01-02-09-4900,Fringe Benefits,21118.95,2005,Actual
01-02-09-4901,Pension,13301.21,2005,Actual
01-02-09-4913,Social Security,10055.08,2005,Actual
01-03-08-4000,Salaries,87040,2005,Actual
01-03-08-4739,Contingencies,1135.19,2005,Actual
01-03-08-4900,Fringe Benefits,19474.18,2005,Actual
01-03-08-4901,Pension,8879.81,2005,Actual
01-03-08-4913,Social Security,6745,2005,Actual
01-04-06-4000,Salaries,142775.9,2005,Actual
01-04-06-4200,Advertising,13835,2005,Actual
01-04-06-4307,Conferences/Training,1740,2005,Actual
01-04-06-4308,Subscriptions,500,2005,Actual
01-04-06-4317,Dues,1155,2005,Actual
01-04-06-4510,General Plant Supplies,1300,2005,Actual
01-04-06-4700,Travel Expense,510,2005,Actual
01-04-06-4739,Contingencies,2801.28,2005,Actual
01-04-06-4900,Fringe Benefits,25704.16,2005,Actual
01-04-06-4901,Pension,11719.84,2005,Actual
01-04-06-4913,Social Security,10801.8,2005,Actual
01-04-23-4000,Salaries,348807.48,2005,Actual
01-04-23-4203,Rentals/Lease,600,2005,Actual
01-04-23-4222,Consulting Services,25000,2005,Actual
01-04-23-4235,Fees,81587,2005,Actual
01-04-23-4307,Conferences/Training,37950,2005,Actual
01-04-23-4411,Maintenance Agreements,317050,2005,Actual
01-04-23-4802,Machinery and Equipment,241600,2005,Actual
01-04-23-4900,Fringe Benefits,94732.35,2005,Actual
01-04-23-4901,Pension,34075.49,2005,Actual
01-04-23-4913,Social Security,25965.25,2005,Actual
01-04-36-4000,Salaries,848307.96,2005,Actual
01-04-36-4226,UCC Ed and Training Fee,1046,2005,Actual
01-04-36-4307,Conferences/Training,15061.98,2005,Actual
01-04-36-4308,Subscriptions,400,2005,Actual
01-04-36-4317,Dues,400,2005,Actual
01-04-36-4510,General Plant Supplies,7954,2005,Actual
01-04-36-4530,Mechanical Trades Testing,6000,2005,Actual
01-04-36-4900,Fringe Benefits,235240.64,2005,Actual
01-04-36-4901,Pension,99104.44,2005,Actual
01-04-36-4913,Social Security,67202.92,2005,Actual
01-06-10-3288,Bank Charge Revenue,-19000,2005,Actual
01-06-10-3542,School District Collection,-85000,2005,Actual
01-06-10-4000,Salaries,91093.61,2005,Actual
01-06-10-4006,Overtime,150,2005,Actual
01-06-10-4203,Rentals/Lease,1648,2005,Actual
01-06-10-4216,Contracted Services,750,2005,Actual
01-06-10-4411,Maintenance Agreements,10100,2005,Actual
01-06-10-4510,General Plant Supplies,0,2005,Actual
01-06-10-4900,Fringe Benefits,35490.65,2005,Actual
01-06-10-4901,Pension,14914.77,2005,Actual
01-06-10-4913,Social Security,6980.14,2005,Actual
01-06-13-4000,Salaries,157436.74,2005,Actual
01-06-13-4016,Temporary Wages,1000,2005,Actual
01-06-13-4307,Conferences/Training,1500,2005,Actual
01-06-13-4308,Subscriptions,422.05,2005,Actual
01-06-13-4317,Dues,180,2005,Actual
01-06-13-4506,Office Supplies,77.95,2005,Actual
01-06-13-4509,Postage,100,2005,Actual
01-06-13-4900,Fringe Benefits,37175.95,2005,Actual
01-06-13-4901,Pension,15503.86,2005,Actual
01-06-13-4913,Social Security,11725,2005,Actual
01-06-16-4000,Salaries,71735,2005,Actual
01-06-16-4202,Printing,433,2005,Actual
01-06-16-4203,Rentals/Lease,27864,2005,Actual
01-06-16-4216,Contracted Services,8100,2005,Actual
01-06-16-4308,Subscriptions,0,2005,Actual
01-06-16-4317,Dues,482,2005,Actual
01-06-16-4400,Maintenance Communications,0,2005,Actual
01-06-16-4402,Maintenance/Repair Equipment,3500,2005,Actual
01-06-16-4411,Maintenance Agreements,194680,2005,Actual
01-06-16-4506,Office Supplies,26000,2005,Actual
01-06-16-4510,General Plant Supplies,21000,2005,Actual
01-06-16-4900,Fringe Benefits,17460.04,2005,Actual
01-06-16-4901,Pension,7281.54,2005,Actual
01-06-16-4913,Social Security,5349.65,2005,Actual
01-06-18-4000,Salaries,170399,2005,Actual
01-06-18-4006,Overtime,300,2005,Actual
01-06-18-4202,Printing,1000,2005,Actual
01-06-18-4216,Contracted Services,14000,2005,Actual
01-06-18-4307,Conferences/Training,1500,2005,Actual
01-06-18-4317,Dues,380,2005,Actual
01-06-18-4510,General Plant Supplies,0,2005,Actual
01-06-18-4900,Fringe Benefits,37419.71,2005,Actual
01-06-18-4901,Pension,17583.38,2005,Actual
01-06-18-4913,Social Security,13058.47,2005,Actual
01-06-21-3160,Admissions Fee/Tax,-600000,2005,Actual
01-06-21-3214,Reimb-Collection Expense,-67000,2005,Actual
01-06-21-3631,School District Tax Services,-240000,2005,Actual
01-06-21-3632,Duplicate Bill Fee,-13000,2005,Actual
01-06-21-3634,Certifications,-100000,2005,Actual
01-06-21-3758,Cost Reimbursement-Grants Acct,-1000,2005,Actual
01-06-21-4000,Salaries,433790.39,2005,Actual
01-06-21-4002,Longevity,2610,2005,Actual
01-06-21-4006,Overtime,500,2005,Actual
01-06-21-4016,Temporary Wages,10705,2005,Actual
01-06-21-4120,Refund 511 Taxes,6400,2005,Actual
01-06-21-4200,Advertising,0,2005,Actual
01-06-21-4213,Collection Expense - Tax Claim,6500,2005,Actual
01-06-21-4214,Collection Expense,84000,2005,Actual
01-06-21-4216,Contracted Services,5130,2005,Actual
01-06-21-4224,Legal Services,3300,2005,Actual
01-06-21-4307,Conferences/Training,320,2005,Actual
01-06-21-4308,Subscriptions,0,2005,Actual
01-06-21-4317,Dues,0,2005,Actual
01-06-21-4510,General Plant Supplies,0,2005,Actual
01-06-21-4700,Travel Expense,245,2005,Actual
01-06-21-4900,Fringe Benefits,75575.09,2005,Actual
01-06-21-4901,Pension,43532.32,2005,Actual
01-06-21-4913,Social Security,34187.88,2005,Actual
01-06-21-4924,Interest Expense,0,2005,Actual
01-06-22-3631,School District Tax Services,-34000,2005,Actual
01-06-22-4000,Salaries,0,2005,Actual
01-06-22-4402,Maintenance/Repair Equipment,13000,2005,Actual
01-06-22-4509,Postage,180000,2005,Actual
01-06-22-4900,Fringe Benefits,6842.46,2005,Actual
01-06-22-4901,Pension,2853.71,2005,Actual
01-06-22-4913,Social Security,0,2005,Actual
01-06-23-3631,School District Tax Services,-20000,2005,Actual
01-06-23-4000,Salaries,0,2005,Actual
01-06-23-4203,Rentals/Lease,0,2005,Actual
01-06-23-4222,Consulting Services,0,2005,Actual
01-06-23-4235,Fees,0,2005,Actual
01-06-23-4307,Conferences/Training,0,2005,Actual
01-06-23-4411,Maintenance Agreements,0,2005,Actual
01-06-23-4802,Machinery and Equipment,0,2005,Actual
01-06-23-4900,Fringe Benefits,0,2005,Actual
01-06-23-4901,Pension,0,2005,Actual
01-06-23-4913,Social Security,0,2005,Actual
01-06-26-4000,Salaries,25523,2005,Actual
01-06-26-4307,Conferences/Training,0,2005,Actual
01-06-26-4308,Subscriptions,0,2005,Actual
01-06-26-4317,Dues,175,2005,Actual
01-06-26-4900,Fringe Benefits,8440.82,2005,Actual
01-06-26-4901,Pension,3520.06,2005,Actual
01-06-26-4913,Social Security,3239.16,2005,Actual
01-07-14-4000,Salaries,368964.41,2005,Actual
01-07-14-4006,Overtime,0,2005,Actual
01-07-14-4203,Fleet Maint. - Other Juris.,0,2005,Actual
01-07-14-4216,Contracted Services,119000,2005,Actual
01-07-14-4307,Conferences/Training,1000,2005,Actual
01-07-14-4308,Small Engine Repair,0,2005,Actual
01-07-14-4317,Dues,0,2005,Actual
01-07-14-4402,Maintenance/Repair Equipment,1000,2005,Actual
01-07-14-4411,Maintenance Agreements,0,2005,Actual
01-07-14-4500,Vehicle Supplies,24650,2005,Actual
01-07-14-4501,Gas,287000,2005,Actual
01-07-14-4502,Tires and Tubes,30000,2005,Actual
01-07-14-4503,Repair Parts,141000,2005,Actual
01-07-14-4504,Uniforms,4000,2005,Actual
01-07-14-4510,General Plant Supplies,4980,2005,Actual
01-07-14-4528,Small tools,5370,2005,Actual
01-07-14-4900,Fringe Benefits,103249.54,2005,Actual
01-07-14-4901,Pension,43059.11,2005,Actual
01-07-14-4913,Social Security,28225.78,2005,Actual
01-07-24-4000,Salaries,208332.25,2005,Actual
01-07-24-4006,Overtime,8910,2005,Actual
01-07-24-4016,Temporary Wages,8000,2005,Actual
01-07-24-4103,Lighting,328320,2005,Actual
01-07-24-4104,Telephone,80,2005,Actual
01-07-24-4216,Contracted Services,168,2005,Actual
01-07-24-4307,Conferences/Training,80,2005,Actual
01-07-24-4317,Dues,120,2005,Actual
01-07-24-4407,Maintenance/Repairs Property,70305,2005,Actual
01-07-24-4408,Maint/Repair Traffic Signals,22495,2005,Actual
01-07-24-4504,Uniforms,600,2005,Actual
01-07-24-4510,General Plant Supplies,600,2005,Actual
01-07-24-4802,Machinery and Equipment,0,2005,Actual
01-07-24-4900,Fringe Benefits,55756.44,2005,Actual
01-07-24-4901,Pension,23252.97,2005,Actual
01-07-24-4913,Social Security,17781.35,2005,Actual
01-07-50-3653,Towing Revenue,-25000,2005,Actual
01-07-50-3743,Miscellaneous,0,2005,Actual
01-07-50-4000,Salaries,133735.84,2005,Actual
01-07-50-4200,Advertising,0,2005,Actual
01-07-50-4203,Rentals/Lease,167230,2005,Actual
01-07-50-4216,Contracted Services,7400,2005,Actual
01-07-50-4307,Conferences/Training,2000,2005,Actual
01-07-50-4308,Subscriptions,0,2005,Actual
01-07-50-4317,Dues,1235,2005,Actual
01-07-50-4510,General Plant Supplies,65,2005,Actual
01-07-50-4739,Contingencies,8889.53,2005,Actual
01-07-50-4900,Fringe Benefits,45357.96,2005,Actual
01-07-50-4901,Pension,13743.83,2005,Actual
01-07-50-4913,Social Security,10154.29,2005,Actual
01-07-51-3552,15Th Street Alley Assess Reimb,0,2005,Actual
01-07-51-4000,Salaries,149708.63,2005,Actual
01-07-51-4006,Overtime,2000,2005,Actual
01-07-51-4216,Contracted Services,5084,2005,Actual
01-07-51-4222,Consulting Services,2000,2005,Actual
01-07-51-4402,Maintenance/Repair Equipment,1200,2005,Actual
01-07-51-4504,Uniforms,400,2005,Actual
01-07-51-4510,General Plant Supplies,2800,2005,Actual
01-07-51-4900,Fringe Benefits,37150.29,2005,Actual
01-07-51-4901,Pension,17014.41,2005,Actual
01-07-51-4913,Social Security,11865.81,2005,Actual
01-07-52-4000,Salaries,670836.84,2005,Actual
01-07-52-4006,Overtime,55000,2005,Actual
01-07-52-4016,Temporary Wages,20000,2005,Actual
01-07-52-4216,Contracted Services,4900,2005,Actual
01-07-52-4235,Fees,80000,2005,Actual
01-07-52-4504,Uniforms,1000,2005,Actual
01-07-52-4510,General Plant Supplies,20000,2005,Actual
01-07-52-4525,Minor Capital Equipment,5150,2005,Actual
01-07-52-4900,Fringe Benefits,192874.04,2005,Actual
01-07-52-4901,Pension,91388.65,2005,Actual
01-07-52-4913,Social Security,56930.01,2005,Actual
01-07-71-4000,Salaries,524184.94,2005,Actual
01-07-71-4006,Overtime,10000,2005,Actual
01-07-71-4016,Temporary Wages,80000,2005,Actual
01-07-71-4216,Contracted Services,46000,2005,Actual
01-07-71-4307,Conferences/Training,360,2005,Actual
01-07-71-4317,Dues,390,2005,Actual
01-07-71-4401,Maintenance/Repair Building,6500,2005,Actual
01-07-71-4504,Uniforms,300,2005,Actual
01-07-71-4510,General Plant Supplies,55500,2005,Actual
01-07-71-4514,Botanical Supplies,0,2005,Actual
01-07-71-4525,Minor Capital Equipment,6000,2005,Actual
01-07-71-4900,Fringe Benefits,157761.51,2005,Actual
01-07-71-4901,Pension,69926.29,2005,Actual
01-07-71-4913,Social Security,46389.14,2005,Actual
01-07-73-3556,Recreation Activities Revenue,-2000,2005,Actual
01-07-73-3557,Day Camp Revenue,-22000,2005,Actual
01-07-73-3639,Miscellaneous Revenue-Donation,-1000,2005,Actual
01-07-73-3710,Checking Account Revenue,-21000,2005,Actual
01-07-73-3763,CD Cost Reimbursement,-152000,2005,Actual
01-07-73-4000,Salaries,176398.56,2005,Actual
01-07-73-4006,Overtime,1000,2005,Actual
01-07-73-4016,Temporary Wages,235000,2005,Actual
01-07-73-4200,Advertising,0,2005,Actual
01-07-73-4216,Contracted Services,0,2005,Actual
01-07-73-4233,Special Events,0,2005,Actual
01-07-73-4307,Conferences/Training,105,2005,Actual
01-07-73-4317,Dues,1000,2005,Actual
01-07-73-4402,Maintenance/Repair Equipment,1500,2005,Actual
01-07-73-4504,Uniforms,1500,2005,Actual
01-07-73-4510,General Plant Supplies,21588.41,2005,Actual
01-07-73-4513,Chemical Supplies,10800,2005,Actual
01-07-73-4522,Medical/Surgical Supplies,506.59,2005,Actual
01-07-73-4554,Misc Expend for Recreation,2000,2005,Actual
01-07-73-4556,Recreation Activities Expendit,2500,2005,Actual
01-07-73-4700,Travel Expense,0,2005,Actual
01-07-73-4900,Fringe Benefits,57720.08,2005,Actual
01-07-73-4901,Pension,24052.1,2005,Actual
01-07-73-4913,Social Security,34302.49,2005,Actual
01-07-74-3104,Telephone Reimbursement,-25000,2005,Actual
01-07-74-3636,Other Department Earnings,-500,2005,Actual
01-07-74-4000,Salaries,296038.32,2005,Actual
01-07-74-4006,Overtime,0,2005,Actual
01-07-74-4016,Temporary Wages,60076,2005,Actual
01-07-74-4100,Fuel,111000,2005,Actual
01-07-74-4101,Light & Power,372071,2005,Actual
01-07-74-4104,Telephone,306000,2005,Actual
01-07-74-4133,Gas-Utilities,160000,2005,Actual
01-07-74-4203,Rentals/Lease,601,2005,Actual
01-07-74-4216,Contracted Services,68984.48,2005,Actual
01-07-74-4307,Conferences/Training,0,2005,Actual
01-07-74-4402,Maintenance/Repair Equipment,71715.52,2005,Actual
01-07-74-4403,Stadium Commission Capital,5000,2005,Actual
01-07-74-4405,Maintenance Supplies,84000,2005,Actual
01-07-74-4504,Uniforms,750,2005,Actual
01-07-74-4505,Janitorial Supplies,30500,2005,Actual
01-07-74-4510,General Plant Supplies,63500,2005,Actual
01-07-74-4525,Minor Capital Equipment,0,2005,Actual
01-07-74-4900,Fringe Benefits,89628.77,2005,Actual
01-07-74-4901,Pension,47134.46,2005,Actual
01-07-74-4913,Social Security,23351.32,2005,Actual
01-08-28-4000,Salaries,1961788.32,2005,Actual
01-08-28-4001,Holiday Pay,105714.56,2005,Actual
01-08-28-4002,Longevity,89511,2005,Actual
01-08-28-4004,Salaries Civilian,0,2005,Actual
01-08-28-4006,Overtime,319500,2005,Actual
01-08-28-4007,Court Time,88500,2005,Actual
01-08-28-4008,Minor Judiciary,111600,2005,Actual
01-08-28-4203,Rentals/Lease,12850,2005,Actual
01-08-28-4216,Contracted Services,2400,2005,Actual
01-08-28-4308,Subscriptions,2170,2005,Actual
01-08-28-4317,Dues,1180,2005,Actual
01-08-28-4402,Maintenance/Repair Equipment,3500,2005,Actual
01-08-28-4411,Maintenance Agreements,13760,2005,Actual
01-08-28-4504,Uniforms,14000,2005,Actual
01-08-28-4510,General Plant Supplies,64250,2005,Actual
01-08-28-4733,Vice Funds,27000,2005,Actual
01-08-28-4734,Weed and Seed Program,30000,2005,Actual
01-08-28-4900,Fringe Benefits,494509.01,2005,Actual
01-08-28-4901,Pension,8127.35,2005,Actual
01-08-28-4902,Police Pension,509114.77,2005,Actual
01-08-28-4913,Social Security,38810.9,2005,Actual
01-08-29-3710,Checking Account Revenue,-23000,2005,Actual
01-08-29-4000,Salaries,702664.32,2005,Actual
01-08-29-4001,Holiday Pay,45155.04,2005,Actual
01-08-29-4002,Longevity,26333,2005,Actual
01-08-29-4004,Salaries Civilian,298431.6,2005,Actual
01-08-29-4005,Overtime Civilian,33100,2005,Actual
01-08-29-4006,Overtime,65550,2005,Actual
01-08-29-4007,Court Time,2680,2005,Actual
01-08-29-4008,Minor Judiciary,8000,2005,Actual
01-08-29-4202,Printing,8045,2005,Actual
01-08-29-4203,Rentals/Lease,6982,2005,Actual
01-08-29-4216,Contracted Services,220,2005,Actual
01-08-29-4307,Conferences/Training,35000,2005,Actual
01-08-29-4308,Subscriptions,450,2005,Actual
01-08-29-4317,Dues,575,2005,Actual
01-08-29-4402,Maintenance/Repair Equipment,8800,2005,Actual
